910930020,138,59,Cd$ CME letter
911459940,138,15,Indemnification
911463840,138,15,Re: Indemnification
911874180,138,"109, 49, 120, 59","Re: Coral Energy, L.P."
912396120,138,"45, 53",Bankruptcy Code revisions
912570420,138,113,Re: Position Description
912576240,138,59,Koch
912685080,138,59,Re: Time to Celebrate!
912734100,138,49,Re: Vacation Request
913166040,138,59,Re: Last Message
913166220,138,59,Trading Documentation - Reminder
913770180,138,"49, 120, 59",Cancellation of Swap Group Meeting
913797300,138,59,HL&P
913950120,138,59,Re: Waste Managment Inc.
914218140,15,138,Indemnification Agreement
914298240,138,"58, 26, 45, 53",Re: ECT SA Legal Team Meeting
914997420,45,"138, 113, 53",1998 Bonus & 1999 Merit Year-End Process Information
915416460,138,53,Ormet
915423060,138,59,Ormet
915698520,138,45,Friday telephone call
915698760,138,59,JEDI II
915699540,138,49,Re: Master Swap Agreement for HL&P
915766680,138,130,Re: JEDI II
915783300,138,59,Taking cash collateral in Canada
915785640,138,"113, 59",UK Courts vs. Arbitration for UK Swap Agreements
916104300,138,59,Houston
916198740,138,"113, 59",Re: UK Courts vs. Arbitration for UK Swap Agreements
916209660,138,"95, 109, 58, 15, 49, 26, 113, 91, 45, 120, 59, 130, 53",Paralegal Position
916363200,138,120,Thursday - Option Investor Newsletter 2 of 2
916384920,138,59,Financial Trading Documentation
916619280,138,120,Sunday - Option Investor Newsletter 3 of 7 (calls)
916653360,138,109,Re: UK Courts vs. Arbitration for UK Swap Agreements
916655100,138,"49, 120, 59",1999 Goals
916796220,138,120,Tuesday - Option Investor Newsletter 1 of 3
916796280,138,120,Tuesday - Option Investor Newsletter 3 of 3
917082060,138,120,Thursday - Option Investor Newsletter 2 of 2
917424060,138,120,Sunday - Option Investor Newsletter 1 of 6
917424120,138,120,Sunday - Option Investor Newsletter 3 of 6 (calls)
917424120,138,120,Sunday - Option Investor Newsletter 2 of 6 (calls)
917424180,138,120,Sunday - Option Investor Newsletter 4 of 6 (calls/puts)
917424180,138,120,Sunday - Option Investor Newsletter 5 of 6 (Puts/Combos)
917424180,138,120,Sunday - Option Investor Newsletter 6 of 6 (C.Calls/NkdPuts)
917425200,138,120,Tuesday Option Investor Newsletter 2 of 2
917425200,138,120,Tuesday Option Investor Newsletter 1 of 2
917512620,138,59,Re: DAPSA
917833860,138,120,Thursday Option Investor Newsletter 1 of 2
917836500,138,120,Thursday Option Investor Newsletter 2 of 2
917836560,138,120,Option Investor Newsletter - IMPORTANT WARNING !!
918615660,138,59,Re: Vacation
919649040,138,59,Robert Quick
920515140,138,59,Omnibus Agreement
920620560,138,58,translation
921029580,138,59,Follow up: C. Fishkin's Proposal and my Comments of 2/19/99
921046440,138,59,Re: Re secondment
921812280,138,59,
921825480,138,109,Draft Template
922155300,138,59,Re: Tana's trip to London
922334040,138,"109, 120",Brazilian Power Trading Contratcts
922364100,138,53,Re: Proposed two-month secondment to Houston
922931040,138,120,Re: Burbank Agenda
923889900,138,130,Credit Watch List
923910000,138,"130, 53",Bankruptcy/Termination Policy
924690360,138,130,Re: Derivatives provisions in Bankruptcy Reform legislation
925714800,53,109,Ale Documents
925725360,138,49,Re: Vacation Request
925783440,109,"45, 53",Contract Standardization Meeting
925879680,138,59,Futures Contracts currently traded:
926301960,120,138,Confirmation Attachments
926318160,53,"58, 26",
926328120,120,"138, 113","Demand from ECT to Sonoco Products Company (""Sonoco"")"
926389620,59,49,Belco Oil & Gas
926413380,138,120,Conflicts Clearance fir ECT/Procter & Gamble Swaption
926415840,58,53,"Washington County, OH purchases"
926418960,120,49,Xerox Corp.
926428200,45,"138, 53",ECT Legal Risk Presentation
926430480,91,130,Re: Baby Shower For Larry's Wife
926484660,138,45,Re: ECT Legal Risk Presentation
926489940,138,130,Re: Vacation
926497500,59,138,1st Qtr 10-Q Outstanding PBC Request Items
926498640,120,"138, 59",PG&E Financial Power Deal
926508960,59,138,Tax Form Revisions
926561880,26,58,Canadian Counterparties Needing Master Agreements
926576760,138,59,URGENT - OMLX IT Agreements
926582700,26,58,Canadian Counterparties Needing Master Agreements
926595060,59,138,Enron Corp. and Subsidiary List
926595600,59,138,ECT Financials
926904000,59,138,Re: Lawyer Resume
926916960,120,138,The SmartPortfolio.Com Update
926935080,120,49,Surety bond
926997360,120,49,Re: AA letter
927092520,138,"120, 130",NEW LAW CLERK...
927115740,138,"109, 120",Re: Resuming Financial Risk Management Opportunity in Guam
927167100,59,138,Re: Duke Energy International
927182280,138,130,Re: vacation days
927188820,120,138,Re: London originated financial transactions: DAPSA and Sempra
927193920,109,138,June meeting of Contract Standardization Group
927270240,138,130,Re: June 25 - Bring Kid to Work Day
927270780,59,"138, 4",Master Swap Agreement Database
927273420,138,"59, 4",Re: Master Swap Agreement Database
927517980,138,65,Internet Trading Consultants
927522780,65,138,Latest Update
927529200,109,53,ERCOT - gas forms
927536400,59,49,Re: Additional GCP contact - Samuel Schott
927544560,59,138,A reminder
927598320,120,59,Duke Energy International
927600780,65,138,Re: Access and Trading Agreements
927616080,120,49,"Pacific Gas & Electric Company (""PG&E"") - ISDA Master Agreementwith ECT"
927626760,59,138,"Lateral Files for EB 38, IP99 413 0005 0446"
927692280,59,"138, 49, 120, 130, 4",Panther LLC and Dakota LLC
927699420,59,"49, 130",Confidentiality Agreement
927766020,59,135,Re: ECT NYMEX Hedge Exemption Applications
927786540,53,"58, 26",Export of Gas From Alberta
927789360,59,138,"Re: Lateral Files for EB 38, IP99 413 0005 0446"
927789840,59,138,Form Revisions
927792960,59,130,Re: Cargill
927859260,59,4,New Counterparty
927878580,59,"138, 49, 120, 130, 4","Duke Energy Trading and Marketing, L.L.C."
927887100,120,49,WELCOME BACK
928211880,120,49,The Dispatch Printing Company
928214640,138,109,FYI
928217280,59,"138, 49, 120, 130, 4",Legal/Credit Meeting
928287600,59,"138, 49, 120, 130, 143, 4",Husky Oil Limited/ECT Canada
928290840,138,4,Group Meetings
928290840,138,"49, 120, 59, 130",Group Meetings
928291080,138,"49, 120, 59, 130, 4",Omnibus Revisions?
928382940,59,130,Re: Futures Seminar
928385880,59,130,Re: Merrill
928656960,59,138,CFTC Form 40
928832580,59,138,Canadian Forms
928899540,130,26,Draft of Amendment Agreement
928899840,130,26,Draft Amendment Agreement
928907580,65,138,FYI
928914300,65,138,Re: Legal Meeting - 8 June 1999
928986480,59,130,Saga Petroleum
929097180,65,138,Re: Internet
929272980,138,120,Broker Agreement
929326320,120,138,"Tuesday, June 15"
929331060,138,65,Napa Web Sites
929352000,91,117,Bisti & Bloomfield Amendments
929356560,120,130,Swap group discussion issues
929434500,120,130,Swap group discussion issues
929446800,91,117,Amendments to Bisti/Bloomfield Contracts
929500620,59,138,URGENT!!
929505480,113,82,Memorandum
929507820,138,65,Wine Country
929510460,138,65,Re: Invitation - Meeting to discuss CC's Foreign JurisdictionReport - London 2:30 / New York 9:30 (18 June 02:30 PM GDT)
929515140,109,98,Re: ENSE Control Area
929516160,138,45,MEH Meetings with Newsome & Stenholm
929530620,59,138,NYMEX COB Spot Position
929586480,26,58,M/P worksheet: CXY Energy Marketing-ECT
929594460,91,117,O&M Agreement Amendments
929608020,120,130,Meeting with Phil Bair
929696040,91,117,Revised Bisti Schedule
930042660,26,58,Re: ECT Canada Master Agreements
930189840,120,138,Re: Omnibus Revisions?
930192300,138,65,E-Commerce
930204000,138,65,Re: Confirms
930208680,138,65,Re: Confirms
930219360,138,65,Re: OnLine Trading
930277620,45,65,Re: Online Trading
930308940,138,4,Re: Vacation
930536820,91,117,CSA Amendments
930558240,138,"49, 120, 59, 130",Performance review time...
930624600,91,117,CSA Amendment revisions
930625860,91,117,NBV Letters
930631200,91,117,Reimbursement Agreements
930639600,138,65,Re: Disclaimer in HoustonStreet Press Release
930793800,120,49,ISDA
930828360,138,49,Sunoco Master Swap and Master Physical
931173780,65,138,Registration Process Questions
931226640,26,58,Canadian form of GTC as requested
931236420,120,49,Hedge Fund provisions for inclusion in the ISDA Schedule
931237740,120,"138, 49, 59, 130, 4",Swap Group Discussion Issues
931248840,59,"138, 49, 120, 130, 4","Falcon Creek Resources, Inc."
931322880,65,138,RE: Registration Process Questions
931335780,113,147,California PX Silver Peak
931342080,113,45,Frazier
931346160,59,"138, 49, 120, 130, 4",Movement of Forms
931419120,65,"138, 147",EnronOnline Presentation - 8th July 1999
931420440,120,"138, 49, 59, 130, 4",Counterparties with high volume of trades for 1999
931500900,113,45,NERC--Pls review ASAP
931506180,26,58,Master Agreements for Canadian Counterparties
931746900,120,138,Swaps in Brazil
931767840,138,49,Re: Vacation Request
931769820,120,138,Derivatives Week
931848000,138,120,Tom Gros
931849800,109,113,NERC Response to TVA letter - First Draft
931920900,120,138,Trading in Brazil
931930860,120,138,Re: ETOL ISDA
931941420,138,65,Issue raised by London
931949040,120,138,Trading in Brazil
932004060,59,138,OMLX Application
932007240,138,65,Credit Clause - online trading GTC's
932033160,120,138,Portucel (the Portuguese counterparty)
932093100,4,120,"Confirmation for HPE, Inc."
932109720,59,"138, 49, 120, 130, 4",Belco Oil & Gas Corp.
932111460,95,"58, 134, 53",Canadian Agreements
932347260,65,138,Re: ROETA
932434140,109,45,Jim Fallon in Charge of Power and Emissions Trading
932440860,109,98,Draft TVA Letter re Not purchasing energy
932442240,65,138,Re: Internet Trading - partial online registration rider
932451360,59,138,Canadian Form Question
932455920,65,138,Copyright Notice for EnronOnline
932465160,109,98,Sager's schedule
932538900,138,65,Proposed revised collateral clause for Online GTCs
932614020,65,138,Most recent Online presentation for information
932617440,138,"49, 120, 59, 130, 4",Independent Amounts
932617680,138,53,Re: Performance review for David Portz
932695560,65,138,Hello - Monday
932697840,120,138,Deal execution
932705760,120,49,National Gypsum
932707380,120,49,Re: National Gypsum
932707500,120,49,Xerox
932713980,120,138,"Monday, July 26"
932715480,65,"138, 147",INPORTANT DOCUMENT
932720100,138,120,Re: Deal execution
932978160,59,138,Canadian form change
932985420,138,120,Derivatives: Ruling Against Texas Hospital Swap May Put SimilarDeals in Jeopardy
932990220,120,138,Re: Derivatives: Ruling Against Texas Hospital Swap May Put SimilarDeals in Jeopardy
933040020,120,4,Re: Canadian utilities
933051360,4,120,Alma Energy Corp.
933063840,59,130,Repo Agreement
933092220,65,138,PA/ETA
933126720,120,49,Duke Master
933128880,59,109,Husky Oil
933128880,120,49,Biomass Transaction
933135060,120,49,Re: Eden - Siderca
933146220,120,4,Norampac and Cascades
933156000,95,"58, 26, 134, 53",Canadian Counterparties
933185340,65,138,Re: PA/ETA
