910930020,Cd$ CME letter
911459940,Indemnification
911463840,Re: Indemnification
911874180,"Re: Coral Energy, L.P."
912396120,Bankruptcy Code revisions
912570420,Re: Position Description
912576240,Koch
912685080,Re: Time to Celebrate!
912734100,Re: Vacation Request
913166040,Re: Last Message
913166220,Trading Documentation - Reminder
913770180,Cancellation of Swap Group Meeting
913797300,HL&P
913950120,Re: Waste Managment Inc.
914218140,Indemnification Agreement
914298240,Re: ECT SA Legal Team Meeting
914997420,1998 Bonus & 1999 Merit Year-End Process Information
915416460,Ormet
915423060,Ormet
915698520,Friday telephone call
915698760,JEDI II
915699540,Re: Master Swap Agreement for HL&P
915766680,Re: JEDI II
915783300,Taking cash collateral in Canada
915785640,UK Courts vs. Arbitration for UK Swap Agreements
916104300,Houston
916198740,Re: UK Courts vs. Arbitration for UK Swap Agreements
916209660,Paralegal Position
916363200,Thursday - Option Investor Newsletter 2 of 2
916384920,Financial Trading Documentation
916619280,Sunday - Option Investor Newsletter 3 of 7 (calls)
916653360,Re: UK Courts vs. Arbitration for UK Swap Agreements
916655100,1999 Goals
916796220,Tuesday - Option Investor Newsletter 1 of 3
916796280,Tuesday - Option Investor Newsletter 3 of 3
917082060,Thursday - Option Investor Newsletter 2 of 2
917424060,Sunday - Option Investor Newsletter 1 of 6
917424120,Sunday - Option Investor Newsletter 3 of 6 (calls)
917424120,Sunday - Option Investor Newsletter 2 of 6 (calls)
917424180,Sunday - Option Investor Newsletter 4 of 6 (calls/puts)
917424180,Sunday - Option Investor Newsletter 5 of 6 (Puts/Combos)
917424180,Sunday - Option Investor Newsletter 6 of 6 (C.Calls/NkdPuts)
917425200,Tuesday Option Investor Newsletter 2 of 2
917425200,Tuesday Option Investor Newsletter 1 of 2
917512620,Re: DAPSA
917833860,Thursday Option Investor Newsletter 1 of 2
917836500,Thursday Option Investor Newsletter 2 of 2
917836560,Option Investor Newsletter - IMPORTANT WARNING !!
918615660,Re: Vacation
919649040,Robert Quick
920515140,Omnibus Agreement
920620560,translation
921029580,Follow up: C. Fishkin's Proposal and my Comments of 2/19/99
921046440,Re: Re secondment
921812280,
921825480,Draft Template
922155300,Re: Tana's trip to London
922334040,Brazilian Power Trading Contratcts
922364100,Re: Proposed two-month secondment to Houston
922931040,Re: Burbank Agenda
923889900,Credit Watch List
923910000,Bankruptcy/Termination Policy
924690360,Re: Derivatives provisions in Bankruptcy Reform legislation
925714800,Ale Documents
925725360,Re: Vacation Request
925783440,Contract Standardization Meeting
925879680,Futures Contracts currently traded:
926301960,Confirmation Attachments
926318160,
926328120,"Demand from ECT to Sonoco Products Company (""Sonoco"")"
926389620,Belco Oil & Gas
926413380,Conflicts Clearance fir ECT/Procter & Gamble Swaption
926415840,"Washington County, OH purchases"
926418960,Xerox Corp.
926428200,ECT Legal Risk Presentation
926430480,Re: Baby Shower For Larry's Wife
926484660,Re: ECT Legal Risk Presentation
926489940,Re: Vacation
926497500,1st Qtr 10-Q Outstanding PBC Request Items
926498640,PG&E Financial Power Deal
926508960,Tax Form Revisions
926561880,Canadian Counterparties Needing Master Agreements
926576760,URGENT - OMLX IT Agreements
926582700,Canadian Counterparties Needing Master Agreements
926595060,Enron Corp. and Subsidiary List
926595600,ECT Financials
926904000,Re: Lawyer Resume
926916960,The SmartPortfolio.Com Update
926935080,Surety bond
926997360,Re: AA letter
927092520,NEW LAW CLERK...
927115740,Re: Resuming Financial Risk Management Opportunity in Guam
927167100,Re: Duke Energy International
927182280,Re: vacation days
927188820,Re: London originated financial transactions: DAPSA and Sempra
927193920,June meeting of Contract Standardization Group
927270240,Re: June 25 - Bring Kid to Work Day
927270780,Master Swap Agreement Database
927273420,Re: Master Swap Agreement Database
927517980,Internet Trading Consultants
927522780,Latest Update
927529200,ERCOT - gas forms
927536400,Re: Additional GCP contact - Samuel Schott
927544560,A reminder
927598320,Duke Energy International
927600780,Re: Access and Trading Agreements
927616080,"Pacific Gas & Electric Company (""PG&E"") - ISDA Master Agreementwith ECT"
927626760,"Lateral Files for EB 38, IP99 413 0005 0446"
927692280,Panther LLC and Dakota LLC
927699420,Confidentiality Agreement
927766020,Re: ECT NYMEX Hedge Exemption Applications
927786540,Export of Gas From Alberta
927789360,"Re: Lateral Files for EB 38, IP99 413 0005 0446"
927789840,Form Revisions
927792960,Re: Cargill
927859260,New Counterparty
927878580,"Duke Energy Trading and Marketing, L.L.C."
927887100,WELCOME BACK
928211880,The Dispatch Printing Company
928214640,FYI
928217280,Legal/Credit Meeting
928287600,Husky Oil Limited/ECT Canada
928290840,Group Meetings
928290840,Group Meetings
928291080,Omnibus Revisions?
928382940,Re: Futures Seminar
928385880,Re: Merrill
928656960,CFTC Form 40
928832580,Canadian Forms
928899540,Draft of Amendment Agreement
928899840,Draft Amendment Agreement
928907580,FYI
928914300,Re: Legal Meeting - 8 June 1999
928986480,Saga Petroleum
929097180,Re: Internet
929272980,Broker Agreement
929326320,"Tuesday, June 15"
929331060,Napa Web Sites
929352000,Bisti & Bloomfield Amendments
929356560,Swap group discussion issues
929434500,Swap group discussion issues
929446800,Amendments to Bisti/Bloomfield Contracts
929500620,URGENT!!
929505480,Memorandum
929507820,Wine Country
929510460,Re: Invitation - Meeting to discuss CC's Foreign JurisdictionReport - London 2:30 / New York 9:30 (18 June 02:30 PM GDT)
929515140,Re: ENSE Control Area
929516160,MEH Meetings with Newsome & Stenholm
929530620,NYMEX COB Spot Position
929586480,M/P worksheet: CXY Energy Marketing-ECT
929594460,O&M Agreement Amendments
